,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,model_response
123,Nonliterary,1,109,16,History is a magnet.,History attracts certain people.,History is a small piece of metal.,History is told in books.,Everyone hates history.,3.87,4.13,2.7,3.13,2.17,2.53,2.97,2.52,2.97,1.39,,1,"""History is a magnet.""

a) Everyone hates history.
b) History is told in books.
c) History is a small piece of metal.
d) History attracts certain people.
",[1 2 3 4],"

d) History attracts certain people."
124,Nonliterary,1,3,7,A tree is an umbrella.,A tree can offer protection from the rain.,A tree can be a fashion accessory.,A tree is a plant.,A tree cannot offer protection from the rain.,5.6,5.83,3.15,4.88,4.69,5.1,4.77,4.41,4.7,2.04,,1,"""A tree is an umbrella.""

a) A tree is a plant.
b) A tree cannot offer protection from the rain.
c) A tree can be a fashion accessory.
d) A tree can offer protection from the rain.
",[2 1 3 4],"

a) A tree is a plant."
125,Literary,1,27,0,Sunlight is golden dust.,Sunlight sparkles.,Sunlight can be bottled.,Sunlight is light from the sun.,Sunlight is dull.,6.03,5.97,3.77,5.03,5.87,5.47,5.27,5.33,4.4,1.8,,1,"""Sunlight is golden dust.""

a) Sunlight can be bottled.
b) Sunlight is dull.
c) Sunlight sparkles.
d) Sunlight is light from the sun.
",[3 1 4 2],"

c) Sunlight sparkles."
126,Nonliterary,1,235,0,Growing up is the funeral of youth.,People change as they age.,Growing up is sad.,Growing up is what happens to people over time.,Growing up is easy.,4.86,5.07,3.3,3.97,3.47,2.43,3.87,3.03,3.2,1.86,,1,"""Growing up is the funeral of youth.""

a) Growing up is what happens to people over time.
b) People change as they age.
c) Growing up is sad.
d) Growing up is easy.
",[2 4 3 1],"

d) Growing up is easy."
127,Literary,1,89,0,An autumn storm is the funeral song of the dying year.,An autumn storm is a final indicator of an ending year.,An autumn storm is a loud indicator of an ending year.,An autumn storm is an intense weather event that happens in fall.,An autumn storm is the first indicator of an ending year.,5.07,5.77,3.8,4.83,4.87,4.37,4.37,5.33,4.37,1.77,,1,"""An autumn storm is the funeral song of the dying year.""

a) An autumn storm is the first indicator of an ending year.
b) An autumn storm is an intense weather event that happens in fall.
c) An autumn storm is a loud indicator of an ending year.
d) An autumn storm is a final indicator of an ending year.
",[1 2 3 4],"

c) An autumn storm is a loud indicator of an ending year."
128,Literary,1,22,9,Love is an antidote for the world's ills.,The world's problems can be solved with love.,The world's problems can be understood with love.,Love is an emotion.,The world's problems can be made worse with love.,6.57,6.5,4.87,4.53,3.93,3.93,4.0,5.9,3.97,1.6,,1,"""Love is an antidote for the world's ills.""

a) The world's problems can be made worse with love.
b) The world's problems can be understood with love.
c) The world's problems can be solved with love.
d) Love is an emotion.
",[1 3 4 2],"

c) The world's problems can be solved with love."
129,Literary,1,120,0,An avalanche is a thunderbolt of snow.,An avalanche is powerful.,An avalanche is loud.,An avalanche is a mass of snow and ice falling down a mountainside.,An avalanche is weak.,6.17,6.2,4.63,4.3,6.23,5.93,5.43,5.43,5.43,1.8,,1,"""An avalanche is a thunderbolt of snow.""

a) An avalanche is weak.
b) An avalanche is a mass of snow and ice falling down a mountainside.
c) An avalanche is loud.
d) An avalanche is powerful.
",[1 2 3 4],"

b) An avalanche is loud."
130,Nonliterary,1,127,17,Money is blood.,Money is how people buy the things they need to live.,Money is valuable.,Money is a medium of economic exchange.,Money is unimportant to one's well-being.,3.7,4.03,2.7,2.83,3.2,3.38,3.23,2.79,2.23,1.75,,1,"""Money is blood.""

a) Money is how people buy the things they need to live.
b) Money is unimportant to one's well-being.
c) Money is a medium of economic exchange.
d) Money is valuable.
",[4 1 2 3],"

The answer is c) Money is a medium of economic exchange."
131,Nonliterary,1,199,0,Mimes are wooden statues.,Mimes are very still.,Mimes are made of wood.,Mimes are people who portray characters through gesture.,Mimes are active.,3.2,3.6,2.77,2.47,2.9,2.07,3.57,2.27,2.47,1.34,,1,"""Mimes are wooden statues.""

a) Mimes are active.
b) Mimes are very still.
c) Mimes are made of wood.
d) Mimes are people who portray characters through gesture.
",[1 4 3 2],"

b) Mimes are very still."
132,Literary,1,124,0,Ancient wisdom is a fountain which makes you thirstier the more you drink.,Ancient wisdom is really interesting.,Ancient wisdom is unfulfilling.,Ancient wisdom is knowledge and experience that has been available for a long time.,Ancient wisdom is boring.,5.67,5.93,4.07,5.27,4.33,4.3,4.4,5.8,4.6,1.7,,1,"""Ancient wisdom is a fountain which makes you thirstier the more you drink.""

a) Ancient wisdom is knowledge and experience that has been available for a long time.
b) Ancient wisdom is really interesting.
c) Ancient wisdom is unfulfilling.
d) Ancient wisdom is boring.
",[2 4 3 1],"

c) Ancient wisdom is unfulfilling."
133,Nonliterary,1,65,0,A flower is a grounded bird,A flower looks different and more beautiful than most plants.,A flower looks different and more delicate than most plants.,A flower is a plant.,A flower looks different and more disgusting than most plants.,3.63,3.73,2.37,2.93,2.2,2.53,2.87,2.4,2.48,1.21,,1,"""A flower is a grounded bird""

a) A flower looks different and more beautiful than most plants.
b) A flower looks different and more delicate than most plants.
c) A flower is a plant.
d) A flower looks different and more disgusting than most plants.
",[4 3 2 1],"
c) A flower is a plant."
134,Nonliterary,1,170,0,Work is the opium of successful people.,Successful people are addicted to work.,Successful people are habitual workers.,Work is an activity that involves effort.,Successful people never work.,5.17,5.4,4.57,4.57,4.3,4.4,4.2,4.6,4.37,2.03,,1,"""Work is the opium of successful people.""

a) Successful people are addicted to work.
b) Work is an activity that involves effort.
c) Successful people are habitual workers.
d) Successful people never work.
",[4 2 3 1],"

b) Work is an activity that involves effort."
135,Literary,1,54,1,Time is a moving escalator.,Time never stops.,Time is jagged.,Time is continued progress of existence.,Time is extremely valuable.,5.63,5.83,4.13,5.87,4.13,4.43,5.23,5.1,4.07,2.17,,1,"""Time is a moving escalator.""

a) Time is continued progress of existence.
b) Time never stops.
c) Time is jagged.
d) Time is extremely valuable.
",[2 4 3 1],"

b) Time never stops."
136,Nonliterary,1,32,0,A long distance swimmer is a fearless warrior.,A long distance swimmer is courageous.,A long distance swimmer is violent.,A long distance swimmer is an athlete.,A long distance swimmer is scared.,6.03,5.69,4.1,4.57,4.77,4.93,5.1,4.4,4.6,1.9,,1,"""A long distance swimmer is a fearless warrior.""

a) A long distance swimmer is an athlete.
b) A long distance swimmer is violent.
c) A long distance swimmer is scared.
d) A long distance swimmer is courageous.
",[2 3 1 4],"

d) A long distance swimmer is courageous."
137,Literary,1,201,0,Melancholy is a weeping cloud.,Melancholy is profound grief.,Melancholy is soft.,Melancholy is feeling very sad.,Melancholy is wet.,5.03,4.77,2.97,4.1,4.73,3.93,4.6,4.37,3.5,1.53,,1,"""Melancholy is a weeping cloud.""

a) Melancholy is profound grief.
b) Melancholy is wet.
c) Melancholy is soft.
d) Melancholy is feeling very sad.
",[4 1 3 2],"

c) Melancholy is soft."
138,Literary,1,127,0,Tears are a mother's weakness.,Tears always elicit sympathy from mothers.,Tears are hard for mothers to lift up.,Tears commonly express sadness.,Tears never elicit sympathy from mothers.,5.33,4.93,5.13,3.27,4.47,4.63,3.6,4.77,3.47,1.97,,1,"""Tears are a mother's weakness.""

a) Tears are hard for mothers to lift up.
b) Tears always elicit sympathy from mothers.
c) Tears never elicit sympathy from mothers.
d) Tears commonly express sadness.
",[3 4 1 2],"
c) Tears never elicit sympathy from mothers."
139,Nonliterary,1,2,0,A dog is a walking stick.,A dog can support you on a walk.,You can carry a dog on a walk.,A dog is a mammal.,A dog can hurt you on a walk.,3.56,3.38,1.96,2.12,2.03,2.97,2.85,2.55,1.89,1.65,,1,"""A dog is a walking stick.""

a) You can carry a dog on a walk.
b) A dog can hurt you on a walk.
c) A dog is a mammal.
d) A dog can support you on a walk.
",[3 1 2 4],"

b) A dog can hurt you on a walk."
140,Nonliterary,1,212,0,Anger is a blizzard.,Anger is chaotic.,Anger is snowy.,Anger is an intense emotion.,Anger is predictable.,5.4,5.97,3.2,4.17,5.5,4.73,4.97,4.1,4.13,2.24,,1,"""Anger is a blizzard.""

a) Anger is snowy.
b) Anger is chaotic.
c) Anger is an intense emotion.
d) Anger is predictable.
",[3 4 2 1],"

b) Anger is chaotic."
141,Nonliterary,1,121,25,The wind is a cat.,The wind is agile and graceful.,The wind is furry and cute.,The wind is air that blows.,The wind is clumsy and lumbering.,2.9,2.8,2.0,2.13,1.53,1.9,2.37,1.66,1.6,1.29,,1,"""The wind is a cat.""

a) The wind is agile and graceful.
b) The wind is air that blows.
c) The wind is furry and cute.
d) The wind is clumsy and lumbering.
",[4 2 3 1],"

The wind is agile and graceful."
142,Nonliterary,1,224,0,Beaches are grills.,Beaches are hot.,Beaches cook food.,Beaches are filled with sand.,Beaches are cold.,5.4,5.07,2.5,3.3,4.3,4.43,4.5,3.3,3.63,1.69,,1,"""Beaches are grills.""

a) Beaches are hot.
b) Beaches are filled with sand.
c) Beaches are cold.
d) Beaches cook food.
",[4 2 1 3],"

b) Beaches are filled with sand."
143,Nonliterary,1,95,0,Airplanes are angry birds.,Airplanes fly on their own course.,Airplanes sometimes attack.,Airplanes are flying vehicles.,Airplanes bring joy.,4.83,4.43,2.33,2.87,4.4,3.87,3.87,2.6,2.63,1.32,,1,"""Airplanes are angry birds.""

a) Airplanes bring joy.
b) Airplanes are flying vehicles.
c) Airplanes sometimes attack.
d) Airplanes fly on their own course.
",[1 2 3 4],"

b) Airplanes are flying vehicles."
144,Literary,1,131,0,Faithful love is a tree standing through the stormiest hour.,Faithful love is strong and supportive.,Faithful love is tall and protects from rain.,Faithful love is long-lasting love.,Faithful love is exhausting.,6.23,6.3,3.93,5.73,6.1,4.9,5.93,6.3,5.07,1.93,,1,"""Faithful love is a tree standing through the stormiest hour.""

a) Faithful love is exhausting.
b) Faithful love is strong and supportive.
c) Faithful love is tall and protects from rain.
d) Faithful love is long-lasting love.
",[1 4 3 2],"

b) Faithful love is strong and supportive."
145,Nonliterary,1,13,0,A garbage truck is a hungry scavenger.,A garbage truck aggressively looks for trash.,A garbage truck can hold a lot of trash.,A garbage truck is a large vehicle.,A garbage truck waits for trash to be dropped off.,6.36,6.33,2.96,5.6,5.14,5.59,5.62,4.45,4.59,1.92,,1,"""A garbage truck is a hungry scavenger.""

a) A garbage truck waits for trash to be dropped off.
b) A garbage truck aggressively looks for trash.
c) A garbage truck can hold a lot of trash.
d) A garbage truck is a large vehicle.
",[1 4 3 2],"

a) A garbage truck waits for trash to be dropped off."
146,Nonliterary,1,80,17,Money is penicillin.,Money can make problems go away.,Money is easy to spend.,Money is a medium of economic exchange.,Money makes it harder to get things done.,3.53,3.73,2.4,2.5,2.3,2.8,1.7,2.0,2.1,0.97,,1,"""Money is penicillin.""

a) Money makes it harder to get things done.
b) Money is a medium of economic exchange.
c) Money can make problems go away.
d) Money is easy to spend.
",[1 2 4 3],"

d) Money is easy to spend."
147,Nonliterary,1,218,0,The cigar is the skunk of smokes.,The cigar is the worst smelling of smokes.,The cigar has a white stripe.,The cigar is rolled tobacco.,The cigar is the best smelling of smokes.,5.76,6.3,3.67,4.77,4.87,4.8,5.07,4.17,4.43,1.69,,1,"""The cigar is the skunk of smokes.""

a) The cigar is the best smelling of smokes.
b) The cigar has a white stripe.
c) The cigar is the worst smelling of smokes.
d) The cigar is rolled tobacco.
",[1 3 4 2],"

The cigar is the best smelling of smokes."
148,Nonliterary,1,45,0,A train is a large worm.,A train is long and thin.,A train moves through the ground.,A train is a large vehicle.,A train is short and wide.,5.63,5.93,2.73,3.3,5.3,5.13,4.93,3.2,3.43,1.93,,1,"""A train is a large worm.""

a) A train is long and thin.
b) A train moves through the ground.
c) A train is short and wide.
d) A train is a large vehicle.
",[4 3 1 2],"

b) A train moves through the ground."
149,Nonliterary,1,169,0,Lies are a swamp.,Lies can bog people down.,Lies are uncomfortable.,Lies are stories that never happened.,Lies are necessary.,4.97,4.83,2.83,3.77,3.53,3.93,3.83,3.57,3.47,2.27,,1,"""Lies are a swamp.""

a) Lies are stories that never happened.
b) Lies are necessary.
c) Lies are uncomfortable.
d) Lies can bog people down.
",[2 1 3 4],"

d) Lies can bog people down."
150,Nonliterary,1,137,0,Thought is a boiling kettle.,Thought is an active process.,Thought is a process that involves a lot of pressure.,Thought is what happens in the mind.,Thought is a passive process.,4.82,5.76,3.1,4.37,4.1,3.67,4.1,3.63,3.87,1.78,,1,"""Thought is a boiling kettle.""

a) Thought is a process that involves a lot of pressure.
b) Thought is a passive process.
c) Thought is an active process.
d) Thought is what happens in the mind.
",[3 1 4 2],"

b) Thought is a passive process."
